City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Conditions
284,Srednekolymsk,RU,67.45,153.6833,22.53,93,100,15.55,overcast clouds
285,Alta Floresta,BR,-9.8756,-56.0861,93.56,30,53,2.08,broken clouds
286,Lata,PT,40.1629,-8.3327,79.92,47,100,3.56,overcast clouds
287,Mount Gambier,AU,-37.8333,140.7667,53.4,99,100,5.7,light rain
288,Sivas,TR,39.7916,37.0019,48.83,87,0,9.22,clear sky
289,Santa Marinella,IT,42.0345,11.8536,70.7,68,100,9.37,overcast clouds
290,Karratha,AU,-20.7377,116.8463,74.95,37,5,10.54,clear sky
291,San Quintin,MX,30.4833,-115.95,70.57,75,87,6.22,overcast clouds
292,Lumberton,US,34.6182,-79.0086,81.32,44,3,5.41,clear sky
293,San Ignacio,BZ,17.1561,-89.0714,86.14,66,40,4.61,scattered clouds
294,Moerai,PF,-22.4333,-151.3333,72.95,76,37,19.19,light rain
295,Panacan,PH,9.2463,118.4082,80.65,85,100,5.84,overcast clouds
296,Kahului,US,20.8947,-156.47,80.62,79,40,9.22,scattered clouds
297,Nanortalik,GL,60.1432,-45.2371,36.9,71,2,13.27,clear sky
298,Amot,NO,59.5714,7.9877,43.75,87,97,19.01,overcast clouds
299,Moussoro,TD,13.6408,16.4901,96.69,17,25,3.89,scattered clouds
300,Malakwal,PK,32.5536,73.2123,77.95,48,0,5.37,clear sky
301,Oberndorf,DE,48.2905,8.5722,55.65,91,96,3.56,overcast clouds
302,Katsuura,JP,35.1333,140.3,59.81,87,100,16.06,light rain
303,Sakakah,SA,29.9697,40.2064,87.66,16,21,3.0,few clouds
304,Touros,BR,-5.1989,-35.4608,83.32,66,0,13.65,clear sky
305,Jieshi,CN,22.8134,115.8257,79.03,81,65,14.9,broken clouds
306,San Anselmo,US,37.9747,-122.5616,79.86,71,0,4.0,clear sky
307,Aksu,CN,41.1231,80.2644,59.58,30,100,4.74,overcast clouds
308,Jimani,DO,18.4917,-71.8502,92.77,48,45,8.23,scattered clouds
309,Hamilton,US,39.1834,-84.5333,76.59,43,40,6.91,scattered clouds
310,Pindiga,NG,9.9833,10.9333,74.61,73,88,3.91,overcast clouds
311,Nyrob,RU,60.733,56.7202,43.5,96,100,2.48,overcast clouds
312,Pahrump,US,36.2083,-115.9839,86.85,18,0,1.99,clear sky
313,Gizo,SB,-8.103,156.8419,81.37,71,88,4.97,overcast clouds
314,Jawhar,SO,2.7809,45.5005,76.95,79,86,15.79,overcast clouds
315,Fukue,JP,32.6881,128.8419,67.6,81,100,18.7,light rain
316,Qarqin,AF,37.4185,66.0436,60.91,17,0,4.05,clear sky
317,Takoradi,GH,4.8845,-1.7554,77.31,84,86,10.63,overcast clouds
318,Muroto,JP,33.2833,134.15,66.83,89,100,11.05,overcast clouds
319,Namatanai,PG,-3.6667,152.4333,80.31,73,94,11.95,overcast clouds
